input_dict,ground_truth,natural question,natural answer
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: neural question answering","loss function
machine learning resources
semi-supervised learning
neural networks
neural question answering","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of neural question answering, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;neural question answering
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: semantic role labeling","linguistics basics
semantic role labeling","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of semantic role labeling, what concept path should I follow?",linguistics basics;semantic role labeling
"domain_1: Natural Language Processing
concept_1: random walks and harmonic functions
concept_2: spectral clustering","random walks and harmonic functions
Unsupervised learning
spectral clustering","In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of spectral clustering, what concept path should I follow?",random walks and harmonic functions;Unsupervised learning;spectral clustering
"domain_1: Natural Language Processing
concept_1: dependency parsing
concept_2: transition based dependency parsing","dependency parsing
transition based dependency parsing","In the domain of Natural Language Processing, I know about the concept of dependency parsing, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",dependency parsing;transition based dependency parsing
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: language identification","linguistics basics
language identification","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of language identification, what concept path should I follow?",linguistics basics;language identification
"domain_1: Natural Language Processing
concept_1: language modeling
concept_2: text generation","language modeling
evaluation of language modeling
text generation","In the domain of Natural Language Processing, I know about the concept of language modeling, now I want to learn about the concept of text generation, what concept path should I follow?",language modeling;evaluation of language modeling;text generation
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: Unsupervised learning","loss function
machine learning resources
random walks and harmonic functions
Unsupervised learning","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Unsupervised learning, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;Unsupervised learning
"domain_1: Natural Language Processing
concept_1: question answering
concept_2: long-form question answering","question answering
long-form question answering","In the domain of Natural Language Processing, I know about the concept of question answering, now I want to learn about the concept of long-form question answering, what concept path should I follow?",question answering;long-form question answering
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: mathematical models","probabilities
mathematical models","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of mathematical models, what concept path should I follow?",probabilities;mathematical models
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: first-order logic","natural language processing intro
parsing
semi supervised learning
first-order logic","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of first-order logic, what concept path should I follow?",natural language processing intro;parsing;semi supervised learning;first-order logic
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: text mining","vector representations
structured learning
sentence representations
text mining","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of text mining, what concept path should I follow?",vector representations;structured learning;sentence representations;text mining
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: spectral clustering","optimization
machine learning resources
random walks and harmonic functions
Unsupervised learning
spectral clustering","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of spectral clustering, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;spectral clustering
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: context free grammars","word distributions
vector representations
structured learning
vector semantics
context free grammars","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of context free grammars, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;context free grammars
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: nlp for biology","natural language processing intro
vector representations
structured learning
vector semantics
bio text mining
nlp for biology","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of nlp for biology, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;bio text mining;nlp for biology
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: multilingual word embedding","structured learning
word distributions
vector representations
word embedding
word embedding variations
multilingual word embedding","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",structured learning;word distributions;vector representations;word embedding;word embedding variations;multilingual word embedding
"domain_1: Natural Language Processing
concept_1: machine translation
concept_2: machine translation techniques","machine translation
machine translation techniques","In the domain of Natural Language Processing, I know about the concept of machine translation, now I want to learn about the concept of machine translation techniques, what concept path should I follow?",machine translation;machine translation techniques
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: scientific article summarization","vector representations
structured learning
sentence representations
text summarization
neural summarization
scientific article summarization","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"domain_1: Natural Language Processing
concept_1: random walks and harmonic functions
concept_2: k means","random walks and harmonic functions
Unsupervised learning
k means","In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of k means, what concept path should I follow?",random walks and harmonic functions;Unsupervised learning;k means
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: query expansion","linguistics basics
morphology and lexicon
query expansion","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of query expansion, what concept path should I follow?",linguistics basics;morphology and lexicon;query expansion
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: agent-based view of ai","optimization
machine learning resources
random walks and harmonic functions
Unsupervised learning
reinforcement learning
agent-based view of ai","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of agent-based view of ai, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;reinforcement learning;agent-based view of ai
"domain_1: Natural Language Processing
concept_1: clustering
concept_2: expectation maximization algorithm","clustering
Mixture Models
expectation maximization algorithm","In the domain of Natural Language Processing, I know about the concept of clustering, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",clustering;Mixture Models;expectation maximization algorithm
"domain_1: Natural Language Processing
concept_1: python
concept_2: tools for dl","python
tools for dl","In the domain of Natural Language Processing, I know about the concept of python, now I want to learn about the concept of tools for dl, what concept path should I follow?",python;tools for dl
"domain_1: Natural Language Processing
concept_1: neural networks
concept_2: syntaxnet","neural networks
syntaxnet","In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of syntaxnet, what concept path should I follow?",neural networks;syntaxnet
"domain_1: Natural Language Processing
concept_1: lexical semantics
concept_2: event detection","lexical semantics
event detection","In the domain of Natural Language Processing, I know about the concept of lexical semantics, now I want to learn about the concept of event detection, what concept path should I follow?",lexical semantics;event detection
"domain_1: Natural Language Processing
concept_1: beam search
concept_2: neural summarization","beam search
neural summarization","In the domain of Natural Language Processing, I know about the concept of beam search, now I want to learn about the concept of neural summarization, what concept path should I follow?",beam search;neural summarization
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: bio text mining","vector representations
structured learning
vector semantics
bio text mining","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of bio text mining, what concept path should I follow?",vector representations;structured learning;vector semantics;bio text mining
"domain_1: Natural Language Processing
concept_1: seq2seq
concept_2: scientific article summarization","seq2seq
neural summarization
scientific article summarization","In the domain of Natural Language Processing, I know about the concept of seq2seq, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",seq2seq;neural summarization;scientific article summarization
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: evaluation of language modeling","n-gram models
word distributions
language modeling
evaluation of language modeling","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of evaluation of language modeling, what concept path should I follow?",n-gram models;word distributions;language modeling;evaluation of language modeling
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: tsne","natural language processing intro
vector representations
structured learning
vector semantics
tsne","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of tsne, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;tsne
"domain_1: Natural Language Processing
concept_1: search
concept_2: logic and logical agents","search
logic and logical agents","In the domain of Natural Language Processing, I know about the concept of search, now I want to learn about the concept of logic and logical agents, what concept path should I follow?",search;logic and logical agents
"domain_1: Natural Language Processing
concept_1: dimensionality reduction
concept_2: matrix factorization","dimensionality reduction
Principal Component Analysis
matrix factorization","In the domain of Natural Language Processing, I know about the concept of dimensionality reduction, now I want to learn about the concept of matrix factorization, what concept path should I follow?",dimensionality reduction;Principal Component Analysis;matrix factorization
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: Variations of GANs","loss function
Variations of GANs","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Variations of GANs, what concept path should I follow?",loss function;Variations of GANs
"domain_1: Natural Language Processing
concept_1: word embedding variations
concept_2: word sense disambiguation","word embedding variations
word sense disambiguation","In the domain of Natural Language Processing, I know about the concept of word embedding variations, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",word embedding variations;word sense disambiguation
"domain_1: Natural Language Processing
concept_1: text similarity
concept_2: event detection","text similarity
event detection","In the domain of Natural Language Processing, I know about the concept of text similarity, now I want to learn about the concept of event detection, what concept path should I follow?",text similarity;event detection
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: word sense disambiguation","optimization
machine learning resources
word embedding
word embedding variations
word sense disambiguation","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",optimization;machine learning resources;word embedding;word embedding variations;word sense disambiguation
"domain_1: Natural Language Processing
concept_1: Unsupervised learning
concept_2: memory networks","Unsupervised learning
neural networks
memory networks","In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of memory networks, what concept path should I follow?",Unsupervised learning;neural networks;memory networks
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: word sense disambiguation","machine learning resources
word embedding
word embedding variations
word sense disambiguation","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",machine learning resources;word embedding;word embedding variations;word sense disambiguation
"domain_1: Natural Language Processing
concept_1: semi-supervised learning
concept_2: graph convolutional networks","semi-supervised learning
graph convolutional networks","In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of graph convolutional networks, what concept path should I follow?",semi-supervised learning;graph convolutional networks
"domain_1: Natural Language Processing
concept_1: semi supervised learning
concept_2: first-order logic","semi supervised learning
first-order logic","In the domain of Natural Language Processing, I know about the concept of semi supervised learning, now I want to learn about the concept of first-order logic, what concept path should I follow?",semi supervised learning;first-order logic
"domain_1: Natural Language Processing
concept_1: Unsupervised learning
concept_2: graph convolutional networks","Unsupervised learning
neural networks
convolutional neural networks
graph convolutional networks","In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of graph convolutional networks, what concept path should I follow?",Unsupervised learning;neural networks;convolutional neural networks;graph convolutional networks
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: Unsupervised learning","loss function
machine learning resources
random walks and harmonic functions
Unsupervised learning","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Unsupervised learning, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;Unsupervised learning
"domain_1: Natural Language Processing
concept_1: monte carlo methods
concept_2: latent dirichlet allocation","monte carlo methods
latent dirichlet allocation","In the domain of Natural Language Processing, I know about the concept of monte carlo methods, now I want to learn about the concept of latent dirichlet allocation, what concept path should I follow?",monte carlo methods;latent dirichlet allocation
"domain_1: Natural Language Processing
concept_1: aspect-sentiment pairs
concept_2: sentiment knowledge","aspect-sentiment pairs
sentiment knowledge","In the domain of Natural Language Processing, I know about the concept of aspect-sentiment pairs, now I want to learn about the concept of sentiment knowledge, what concept path should I follow?",aspect-sentiment pairs;sentiment knowledge
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: context free grammars","linguistics basics
context free grammars","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of context free grammars, what concept path should I follow?",linguistics basics;context free grammars
"domain_1: Natural Language Processing
concept_1: training neural networks
concept_2: recursive neural networks","training neural networks
recursive neural networks","In the domain of Natural Language Processing, I know about the concept of training neural networks, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",training neural networks;recursive neural networks
